qualifyid,raceid,driverid,constructorid,position_final,year,round,circuitid,circuitref,q2
9087,1070,8,51,12,2021,18,32,rodriguez,77958.0
9088,1070,847,3,13,2021,18,32,rodriguez,78172.0
9089,1070,841,51,14,2021,18,32,rodriguez,78290.0
9090,1070,839,214,15,2021,18,32,rodriguez,78405.0
9091,1070,4,214,16,2021,18,32,rodriguez,0.0
9092,1070,849,3,17,2021,18,32,rodriguez,0.0
9093,1070,854,210,18,2021,18,32,rodriguez,0.0
9085,1070,846,1,10,2021,18,32,rodriguez,77473.0
9076,1070,822,131,1,2021,18,32,rodriguez,76864.0
9100,1071,842,213,5,2021,19,18,interlagos,68903.0
9114,1071,854,210,19,2021,19,18,interlagos,0.0
9115,1071,853,210,20,2021,19,18,interlagos,0.0
9097,1071,830,9,2,2021,19,18,interlagos,68499.0
9098,1071,822,131,3,2021,19,18,interlagos,68426.0
9099,1071,815,9,4,2021,19,18,interlagos,68973.0
9096,1071,1,131,1,2021,19,18,interlagos,68068.0
9102,1071,844,6,7,2021,19,18,interlagos,68859.0
9103,1071,846,1,8,2021,19,18,interlagos,69030.0
9104,1071,817,1,9,2021,19,18,interlagos,69093.0
9101,1071,832,6,6,2021,19,18,interlagos,69031.0
9106,1071,839,214,11,2021,19,18,interlagos,69189.0
9107,1071,20,117,12,2021,19,18,interlagos,69399.0
9108,1071,852,213,13,2021,19,18,interlagos,69483.0
9109,1071,8,51,14,2021,19,18,interlagos,69503.0
9110,1071,841,51,15,2021,19,18,interlagos,70227.0
9111,1071,840,117,16,2021,19,18,interlagos,0.0
9112,1071,849,3,17,2021,19,18,interlagos,0.0
9105,1071,4,214,10,2021,19,18,interlagos,69137.0
9113,1071,847,3,18,2021,19,18,interlagos,0.0
9148,1072,4,214,13,2021,21,77,jeddah,88920.0
9149,1072,847,3,14,2021,21,77,jeddah,89054.0
9150,1072,832,6,15,2021,21,77,jeddah,113652.0
9154,1072,854,210,19,2021,21,77,jeddah,0.0
9152,1072,20,117,17,2021,21,77,jeddah,0.0
9153,1072,840,117,18,2021,21,77,jeddah,0.0
9155,1072,853,210,20,2021,21,77,jeddah,0.0
9147,1072,8,51,12,2021,21,77,jeddah,88885.0
9151,1072,849,3,16,2021,21,77,jeddah,0.0
9146,1072,817,1,11,2021,21,77,jeddah,88668.0
9140,1072,815,9,5,2021,21,77,jeddah,87946.0
9144,1072,839,214,9,2021,21,77,jeddah,88574.0
9143,1072,852,213,8,2021,21,77,jeddah,88222.0
9142,1072,846,1,7,2021,21,77,jeddah,88344.0
9141,1072,842,213,6,2021,21,77,jeddah,88314.0
9139,1072,844,6,4,2021,21,77,jeddah,88459.0
9138,1072,830,9,3,2021,21,77,jeddah,87953.0
9137,1072,822,131,2,2021,21,77,jeddah,88054.0
9136,1072,1,131,1,2021,21,77,jeddah,87712.0
9145,1072,841,51,10,2021,21,77,jeddah,88616.0
9168,1073,840,117,13,2021,22,24,yas_marina,84066.0
9169,1073,841,51,14,2021,22,24,yas_marina,84251.0
9170,1073,20,117,15,2021,22,24,yas_marina,84305.0
9167,1073,842,213,12,2021,22,24,yas_marina,84043.0
9172,1073,847,3,17,2021,22,24,yas_marina,0.0
9173,1073,8,51,18,2021,22,24,yas_marina,0.0
9174,1073,854,210,19,2021,22,24,yas_marina,0.0
9175,1073,853,210,20,2021,22,24,yas_marina,0.0
9166,1073,4,214,11,2021,22,24,yas_marina,83460.0
9171,1073,849,3,16,2021,22,24,yas_marina,0.0
9164,1073,839,214,9,2021,22,24,yas_marina,83420.0
9156,1073,830,9,1,2021,22,24,yas_marina,82800.0
9157,1073,1,131,2,2021,22,24,yas_marina,83145.0
9158,1073,846,1,3,2021,22,24,yas_marina,83256.0
9159,1073,815,9,4,2021,22,24,yas_marina,83135.0
9165,1073,817,1,10,2021,22,24,yas_marina,83448.0
9161,1073,822,131,6,2021,22,24,yas_marina,83246.0
9162,1073,844,6,7,2021,22,24,yas_marina,83202.0
9163,1073,852,213,8,2021,22,24,yas_marina,83404.0
9160,1073,832,6,5,2021,22,24,yas_marina,83174.0
9187,1074,854,210,12,2022,1,3,bahrain,91998.0
9194,1074,840,117,19,2022,1,3,bahrain,0.0
9193,1074,817,1,18,2022,1,3,bahrain,0.0
9192,1074,807,117,17,2022,1,3,bahrain,0.0
9191,1074,852,213,16,2022,1,3,bahrain,0.0
9190,1074,855,51,15,2022,1,3,bahrain,93543.0
9189,1074,848,3,14,2022,1,3,bahrain,92664.0
9188,1074,846,1,13,2022,1,3,bahrain,92008.0
9186,1074,839,214,11,2022,1,3,bahrain,91782.0
9195,1074,849,3,20,2022,1,3,bahrain,0.0
9184,1074,847,131,9,2022,1,3,bahrain,91252.0
9176,1074,844,6,1,2022,1,3,bahrain,90932.0
9177,1074,830,9,2,2022,1,3,bahrain,90757.0
9178,1074,832,6,3,2022,1,3,bahrain,90787.0
9179,1074,815,9,4,2022,1,3,bahrain,91008.0
9185,1074,842,213,10,2022,1,3,bahrain,91635.0
9181,1074,822,51,6,2022,1,3,bahrain,91717.0
9182,1074,825,210,7,2022,1,3,bahrain,91461.0
9183,1074,4,214,8,2022,1,3,bahrain,91621.0
9180,1074,1,131,5,2022,1,3,bahrain,91048.0
9215,1075,832,6,3,2022,2,77,jeddah,88686.0
9231,1075,849,3,19,2022,2,77,jeddah,0.0
9230,1075,807,117,18,2022,2,77,jeddah,0.0
9229,1075,848,3,17,2022,2,77,jeddah,0.0
9228,1075,1,131,16,2022,2,77,jeddah,0.0
9227,1075,840,117,15,2022,2,77,jeddah,91009.0
9226,1075,854,210,14,2022,2,77,jeddah,89920.0
9213,1075,815,9,1,2022,2,77,jeddah,88924.0
9214,1075,844,6,2,2022,2,77,jeddah,88780.0
9232,1075,852,213,20,2022,2,77,jeddah,0.0
9216,1075,830,9,4,2022,2,77,jeddah,88945.0
